datestr,XCENU,YCENU,XCENO,YCENO,DXCEN,DYCEN,totalTime,timeOfYear,timeOfDay,T_SPCCD,T_SPCEB
20160506_190004,596.570190,314.300568,579.302490,282.963654,17.267700,31.336914,9.620511,0.347137,0.791713,-41.403000,-3.362640
20160506_223006,619.324707,313.171112,599.579529,281.854828,19.745178,31.316284,9.620911,0.347536,0.937569,-38.493300,-4.314600
20160507_011504,637.562805,312.246399,617.964539,280.712799,19.598267,31.533600,9.621224,0.347850,0.052130,-44.875300,-9.928500
20160507_063053,670.696228,313.061646,651.875488,277.875519,18.820740,35.186127,9.621825,0.348450,0.271447,-42.562700,-4.044570
20160507_111305,-572.445862,226.694473,-591.346985,200.871262,18.901123,25.823212,9.622361,0.348987,0.467419,-44.215500,-9.197170
20160507_174007,740.145691,307.282806,721.013489,272.770691,19.132202,34.512115,9.623097,0.349723,0.736192,-48.244900,-11.251700
20160507_192505,746.700623,306.998383,727.541016,271.950317,19.159607,35.048065,9.623297,0.349922,0.809086,-45.040200,-6.207510
20160508_114405,-386.031342,237.344360,-402.630951,206.274719,16.599609,31.069641,9.625158,0.351784,0.488947,-45.863600,-11.319500
20160508_165805,-340.956512,237.781448,-359.101959,207.388000,18.145447,30.393448,9.625755,0.352381,0.707002,-39.991500,-7.472290
20160508_232304,-286.681915,240.578735,-304.333527,208.174347,17.651611,32.404388,9.626487,0.353113,0.974352,-43.802800,-9.373880
20160509_023005,-259.673370,242.166840,-277.335541,208.506271,17.662170,33.660568,9.626843,0.353468,0.104225,-48.081000,-10.576400
20160509_061404,-226.293335,239.120911,-244.659531,208.738800,18.366196,30.382111,9.627268,0.353894,0.259769,-38.660000,-6.826720
20160509_210012,-94.809929,243.014984,-112.643517,94.264679,17.833588,148.750305,9.628953,0.355579,0.875139,-38.909900,-6.719610
20160510_030634,-39.989090,246.796707,-57.256985,209.018143,17.267895,37.778564,9.629650,0.356275,0.129560,-46.357100,-11.048600
20160510_080133,5.144557,247.449371,-12.640823,208.378479,17.785380,39.070892,9.630211,0.356836,0.334410,-45.287300,-11.545900
20160510_101606,498.540924,99.992912,477.991486,61.248260,20.549438,38.744652,9.630466,0.357092,0.427847,-38.410000,-7.342750
20160510_113006,507.163574,100.443100,487.841034,60.949749,19.322540,39.493351,9.630607,0.357233,0.479236,-42.562700,-7.407470
20160510_125706,517.448303,102.175987,499.273529,60.492798,18.174774,41.683189,9.630772,0.357398,0.539653,-45.122600,-9.973030
20160510_144406,531.487793,100.822044,513.255066,59.860943,18.232727,40.961102,9.630976,0.357602,0.613958,-44.710500,-7.948970
20160510_163106,545.008972,102.015907,527.044006,59.231094,17.964966,42.784813,9.631179,0.357805,0.688264,-40.157800,-6.313930
20160510_194406,569.997498,101.264107,551.492493,58.093338,18.505005,43.170769,9.631546,0.358172,0.822292,-42.976400,-6.848160
20160510_212236,582.586670,98.828873,563.813538,57.498993,18.773132,41.329880,9.631734,0.358359,0.890694,-41.900300,-7.385890
20160510_225606,594.027283,100.756325,575.323975,56.933964,18.703308,43.822361,9.631911,0.358537,0.955625,-47.589000,-8.166590
20160511_020006,616.294434,99.970345,597.647461,55.823338,18.646973,44.147007,9.632261,0.358887,0.083403,-47.917000,-10.196000
20160511_034236,628.148499,98.741714,609.815125,55.075035,18.333374,43.666679,9.632456,0.359082,0.154583,-45.205000,-9.661830
20160511_052106,629.103027,98.363800,610.642029,54.578323,18.460999,43.785477,9.632643,0.359269,0.222986,-44.875300,-9.706210
20160511_070204,652.043213,97.939293,633.104492,53.785915,18.938721,44.153378,9.632835,0.359461,0.293102,-45.534400,-9.706210
20160511_083806,662.854553,97.694473,643.958008,53.074444,18.896545,44.620029,9.633018,0.359644,0.359792,-46.521500,-10.263000
20160511_101605,673.713684,97.150787,655.043457,52.507839,18.670227,44.642948,9.633204,0.359830,0.427836,-45.369700,-10.352400
20160511_115435,684.626709,97.081474,665.935059,51.846172,18.691650,45.235302,9.633391,0.360017,0.496238,-45.945900,-10.352400
20160511_133327,693.847961,96.573448,676.721497,51.300579,17.126465,45.272869,9.633579,0.360205,0.564896,-46.028200,-10.285400
20160511_140006,697.312317,96.865402,679.657043,51.085690,17.655273,45.779713,9.633630,0.360256,0.583403,-38.660000,-5.656280
20160511_152035,705.655457,94.397438,688.193054,50.437344,17.462402,43.960094,9.633783,0.360409,0.639294,-43.555000,-7.731960
20160511_155006,709.388000,94.859352,691.321533,50.326313,18.066467,44.533039,9.633839,0.360465,0.659792,-38.826600,-5.825490
